rank,level,function,calls,time
0,0,Integrator.update_domain,1012542,1120.0998265743256
0,0,acceleration_eval_0,506271,1075.5614171028137
0,0,nnps.update,506271,69.37681198120117
0,0,Integrator.initialize,506271,30.573424816131592
0,0,Integrator.stage2,506271,22.917624711990356
0,0,Integrator.stage1,506271,22.75805926322937
0,0,Solver.pre_step_callback,506271,19.780974626541138
0,0,Solver.dump_output,130,18.38069486618042
0,0,Solver._get_timestep,506272,2.5663037300109863
0,0,Integrator.initial_acceleration,1,0.0018050670623779297
